"tipo_fuente","esquema","nombre","descripcion_objeto","columna","tipo","permite_nulos","es_clave_primaria","tabla_destino","columna_destino","descripcion_columna"
"TABLA","public","at_canarias",NULL,"isla_id","integer","YES","NO","islas","id",NULL
"TABLA","public","at_canarias",NULL,"municipio_id","integer","YES","NO","municipios","id",NULL
"TABLA","public","at_canarias",NULL,"localidad_id","integer","YES","NO","localidades","id",NULL
"TABLA","public","at_canarias",NULL,"codigo_postal","character varying","YES","NO",NULL,NULL,NULL
"TABLA","public","at_canarias",NULL,"plazas","integer","YES","NO",NULL,NULL,NULL
"TABLA","public","at_canarias",NULL,"longitud","double precision","YES","NO",NULL,NULL,NULL
"TABLA","public","at_canarias",NULL,"latitud","double precision","YES","NO",NULL,NULL,NULL
"TABLA","public","at_canarias",NULL,"fuente_geocodificacion","character varying","YES","NO",NULL,NULL,NULL
"TABLA","public","at_canarias",NULL,"fuente_localidad","character varying","YES","NO",NULL,NULL,NULL
"TABLA","public","at_canarias",NULL,"modalidad_id","integer","YES","NO","modalidades","id",NULL
"TABLA","public","at_canarias",NULL,"tipologia_id","integer","YES","NO","tipologias","id",NULL
"TABLA","public","at_canarias",NULL,"clasificacion_id","integer","YES","NO","clasificaciones","id",NULL
"TABLA","public","at_canarias",NULL,"fecha_alta","date","YES","NO",NULL,NULL,NULL
"TABLA","public","at_canarias",NULL,"fecha_baja","date","YES","NO",NULL,NULL,NULL
"TABLA","public","at_canarias",NULL,"activa","boolean","YES","NO",NULL,NULL,NULL
"TABLA","public","at_canarias",NULL,"en_area_turistica","boolean","YES","NO",NULL,NULL,"El establecimiento se encuentra en un microdestino turístico"
"TABLA","public","at_canarias",NULL,"geocode_area_turistica","text","YES","NO",NULL,NULL,"Código del microdestino turístico (geocode)"
"TABLA","public","at_canarias",NULL,"geom","USER-DEFINED","YES","NO",NULL,NULL,NULL
"TABLA","public","at_canarias_no_microdestino","Resumen de plazas de oferta reglada situadas fuera de microdestinos turísticos (suelo residencial/rural)","isla_id","integer","YES","NO",NULL,NULL,NULL
"TABLA","public","at_canarias_no_microdestino","Resumen de plazas de oferta reglada situadas fuera de microdestinos turísticos (suelo residencial/rural)","municipio_id","integer","YES","NO",NULL,NULL,NULL
"TABLA","public","at_canarias_no_microdestino","Resumen de plazas de oferta reglada situadas fuera de microdestinos turísticos (suelo residencial/rural)","geocode_area_turistica","text","YES","NO",NULL,NULL,NULL
"TABLA","public","at_canarias_no_microdestino","Resumen de plazas de oferta reglada situadas fuera de microdestinos turísticos (suelo residencial/rural)","total_plazas_no_turisticas","bigint","YES","NO",NULL,NULL,NULL
"TABLA","public","at_canarias_no_microdestino","Resumen de plazas de oferta reglada situadas fuera de microdestinos turísticos (suelo residencial/rural)","total_establecimientos","bigint","YES","NO",NULL,NULL,NULL
"TABLA","public","base_snapshots",NULL,"id","integer","NO","SÍ",NULL,NULL,"Generado por el sistema"
"TABLA","public","base_snapshots",NULL,"ambito","character varying","NO","NO",NULL,NULL,"Capa en la jerarquía"
"TABLA","public","base_snapshots",NULL,"isla_id","integer","YES","NO","islas","id","Asociado a islas.id"
"TABLA","public","base_snapshots",NULL,"municipio_id","integer","YES","NO","municipios","id","Asociado a municipios.id"
"TABLA","public","base_snapshots",NULL,"localidad_id","integer","YES","NO","localidades","id","Asociado a localidades.id"
"TABLA","public","base_snapshots",NULL,"fecha_calculo","timestamp without time zone","YES","NO",NULL,NULL,"Fecha de proceso"
"TABLA","public","base_snapshots",NULL,"superficie_km2","numeric","YES","NO",NULL,NULL,"Obtenido de superficies.superficie /100"
"TABLA","public","base_snapshots",NULL,"poblacion","integer","YES","NO",NULL,NULL,"Obtenido de poblacion.valor"
"TABLA","public","base_snapshots",NULL,"poblacion_year","integer","YES","NO",NULL,NULL,"Obtenido de poblacion.year"
"TABLA","public","base_snapshots",NULL,"viviendas_total","integer","YES","NO",NULL,NULL,"Obtenido de viviendas.total"
"TABLA","public","base_snapshots",NULL,"viviendas_vacias","integer","YES","NO",NULL,NULL,"Obtenido de viviendas.vacias"
"TABLA","public","base_snapshots",NULL,"viviendas_esporadicas","integer","YES","NO",NULL,NULL,"Obtenido de viviendas.esporadicas"
"TABLA","public","base_snapshots",NULL,"viviendas_habituales","integer","YES","NO",NULL,NULL,"Obtenido de viviendas.habituales"
"TABLA","public","base_snapshots",NULL,"pte_r","numeric","YES","NO",NULL,NULL,"Obtenido de pte_reglada.pte_reglada"
"TABLA","public","base_snapshots",NULL,"pte_r_year","integer","YES","NO",NULL,NULL,"Obtenido de pte_reglada.year"
"TABLA","public","base_snapshots",NULL,"pte_v","numeric","YES","NO",NULL,NULL,"Obtenido de pte_vacacional.ptev"
"TABLA","public","base_snapshots",NULL,"pte_v_periodo","character varying","YES","NO",NULL,NULL,"Obtenido de pte_vacacional.year + pte_vacacional.mes"
"TABLA","public","base_snapshots",NULL,"etiqueta","character varying","YES","NO",NULL,NULL,"Obtenido de Campo nombre en islas, municipios, localidades + Canarias"
"TABLA","public","base_snapshots",NULL,"personas_por_hogar","numeric","YES","NO",NULL,NULL,"Obtenido de hogares.miembros"
"TABLA","public","base_snapshots",NULL,"personas_por_hogar_year","timestamp without time zone","YES","NO",NULL,NULL,"Obtenido de hogares.year"
"TABLA","public","base_snapshots",NULL,"uds_vv_turisticas","integer","YES","NO",NULL,NULL,"Obtenido de la tabla alojamientos Cuenta de las viviendas vacacionales en microdestinos"
"TABLA","public","base_snapshots",NULL,"uds_vv_residenciales","integer","YES","NO",NULL,NULL,"Obtenido de la tabla alojamientos Cuenta de las viviendas vacacionales fuera de microdestinos"
"TABLA","public","base_snapshots",NULL,"plazas_vv_turisticas","integer","YES","NO",NULL,NULL,"Obtenido de la tabla alojamientos Suma de las plazas de viviendas vacacionales en microdestinos"
"TABLA","public","base_snapshots",NULL,"plazas_vv_residenciales","integer","YES","NO",NULL,NULL,"Obtenido de la tabla alojamientos Suma de las plazas de viviendas vacacionales fuera de microdestinos"
"TABLA","public","base_snapshots",NULL,"plazas_at_turisticas","integer","YES","NO",NULL,NULL,"Obtenido de la tabla alojamientos Suma de las plazas de alojamiento reglado en destinos turísticos"
"TABLA","public","base_snapshots",NULL,"plazas_at_residenciales","integer","YES","NO",NULL,NULL,"Obtenido de la tabla alojamientos Suma de las plazas de alojamiento reglado fuera destinos turísticos"
"TABLA","public","base_snapshots",NULL,"pte_total","numeric","YES","NO",NULL,NULL,"Dato calculado =  pte_r + pte_v"
"TABLA","public","base_snapshots",NULL,"uds_vv_total","integer","YES","NO",NULL,NULL,"Dato calculado =  uds_vv_turisticas + uds_vv_residenciales"
"TABLA","public","base_snapshots",NULL,"plazas_vacacionales","integer","YES","NO",NULL,NULL,"Dato calculado =  plazas_vv_residenciales +  plazas_vv_turisticas"
"TABLA","public","base_snapshots",NULL,"plazas_regladas","integer","YES","NO",NULL,NULL,"Dato calculado =  plazas_at_residenciales + plazas_at_turisticas"
"TABLA","public","base_snapshots",NULL,"plazas_total","integer","YES","NO",NULL,NULL,"Dato calculado =  plazas_vacacionales + plazas_regladas"
"TABLA","public","base_snapshots",NULL,"plazas_suelo_residencial","integer","YES","NO",NULL,NULL,"Dato calculado =  plazas_vv_residenciales +  plazas_at_residenciales"
"TABLA","public","base_snapshots",NULL,"plazas_suelo_turistico","integer","YES","NO",NULL,NULL,"Dato calculado =  plazas_vv_turisticas + plazas_at_turisticas"
"TABLA","public","base_snapshots",NULL,"consumidores_vivienda","integer","YES","NO",NULL,NULL,"Dato calculado =  poblacion + pte_v"
"TABLA","public","base_snapshots",NULL,"poblacion_total","integer","YES","NO",NULL,NULL,"Dato calculado =  poblacion + pte_total"
"TABLA","public","base_snapshots",NULL,"vhabituales_habitantes","numeric","YES","NO",NULL,NULL,"Dato calculado =  viviendas_habituales / poblacion * 100"
"TABLA","public","base_snapshots",NULL,"vhabituales_consumidores","numeric","YES","NO",NULL,NULL,"Dato calculado =  viviendas_habituales / consumidores_vivienda * 100"
"TABLA","public","base_snapshots",NULL,"cobertura_demanda_viviendas","numeric","YES","NO",NULL,NULL,"Dato calculado =  (consumidores_vivienda / personas_por_hogar) – viviendas_habituales"
"TABLA","public","base_snapshots",NULL,"rit_r","numeric","YES","NO",NULL,NULL,"Dato calculado =  pte_r / poblacion * 100"
"TABLA","public","base_snapshots",NULL,"rit_v","numeric","YES","NO",NULL,NULL,"Dato calculado =  pte_v / poblacion * 100"
"TABLA","public","base_snapshots",NULL,"rit","numeric","YES","NO",NULL,NULL,"Dato calculado =  pte_total / poblacion * 100"
"TABLA","public","base_snapshots",NULL,"rit_r_km2","numeric","YES","NO",NULL,NULL,"Dato calculado =  pte_r / superficie_km2"
"TABLA","public","base_snapshots",NULL,"rit_v_km2","numeric","YES","NO",NULL,NULL,"Dato calculado =  pte_v / superficie_km2"
"TABLA","public","base_snapshots",NULL,"rit_km2","numeric","YES","NO",NULL,NULL,"Dato calculado =  pte_total / superficie_km2"
"TABLA","public","base_snapshots",NULL,"residentes_km2","numeric","YES","NO",NULL,NULL,"Dato calculado =  poblacion / superficie_km2"
"TABLA","public","base_snapshots",NULL,"presion_humana_km2","numeric","YES","NO",NULL,NULL,"Dato calculado =  poblacion_total / superficie_km2"
"TABLA","public","base_snapshots",NULL,"vacacional_por_viviendas_habituales","numeric","YES","NO",NULL,NULL,"Dato calculado =  uds_vv_total / viviendas_habituales * 100"
"TABLA","public","base_snapshots",NULL,"vacacional_por_viviendas_total","numeric","YES","NO",NULL,NULL,"Dato calculado =  uds_vv_total / viviendas_total * 100"
"TABLA","public","base_snapshots",NULL,"uds_vv_habitantes","numeric","YES","NO",NULL,NULL,"Dato calculado =  uds_vv_total / poblacion * 100"
"TABLA","public","base_snapshots",NULL,"uds_vv_residenciales_habitantes","numeric","YES","NO",NULL,NULL,"Dato calculado =  uds_vv_residenciales / poblacion * 100"
"TABLA","public","base_snapshots",NULL,"deficit_oferta_viviendas","numeric","YES","NO",NULL,NULL,"(viviendas_necesarias - viviendas_disponibles) / viviendas_disponibles * 100"
"TABLA","public","base_snapshots",NULL,"uds_vv_residenciales_porc","numeric","YES","NO",NULL,NULL,"Dato calculado =  uds_vv_residenciales / uds_vv_total * 100"
"TABLA","public","base_snapshots",NULL,"uds_vv_turisticas_porc","numeric","YES","NO",NULL,NULL,"Dato calculado =  uds_vv_turisticas / uds_vv_total * 100"
"TABLA","public","base_snapshots",NULL,"plazas_vv_residenciales_porc","numeric","YES","NO",NULL,NULL,"Dato calculado =  plazas_vv_residenciales / plazas_vacacionales * 100"
"TABLA","public","base_snapshots",NULL,"plazas_vv_turisticas_porc","numeric","YES","NO",NULL,NULL,"Dato calculado =  plazas_vv_turisticas / plazas_vacacionales * 100"
"TABLA","public","base_snapshots",NULL,"plazas_at_residenciales_porc","numeric","YES","NO",NULL,NULL,"Dato calculado =  plazas_at_residenciales / plazas_regladas * 100"
"TABLA","public","base_snapshots",NULL,"plazas_at_turisticas_porc","numeric","YES","NO",NULL,NULL,"Dato calculado =  plazas_at_turisticas / plazas_regladas * 100"
"TABLA","public","base_snapshots",NULL,"pte_v_porc","numeric","YES","NO",NULL,NULL,"Dato calculado =  pte_v / pte_total * 100"
"TABLA","public","base_snapshots",NULL,"pte_r_porc","numeric","YES","NO",NULL,NULL,"Dato calculado =  pte_r / pte_total * 100"
"TABLA","public","base_snapshots",NULL,"pte_v_total_poblacion_porc","numeric","YES","NO",NULL,NULL,"Dato calculado =  pte_v / (pte_total + poblacion) * 100"
"TABLA","public","base_snapshots",NULL,"pte_r_total_poblacion_porc","numeric","YES","NO",NULL,NULL,"Dato calculado =  pte_r / (pte_total + poblacion) * 100"
"TABLA","public","base_snapshots",NULL,"poblacion_total_poblacion_porc","numeric","YES","NO",NULL,NULL,"Dato calculado =  poblacion / (poblacion_total) * 100"
"TABLA","public","base_snapshots",NULL,"viviendas_vacias_viviendas_total","numeric","YES","NO",NULL,NULL,"Dato calculado =  viviendas_vacias / viviendas_total * 100"
"TABLA","public","base_snapshots",NULL,"viviendas_esporadicas_viviendas_total","numeric","YES","NO",NULL,NULL,"Dato calculado =  viviendas_esporadicas / viviendas_total*100"
"TABLA","public","base_snapshots",NULL,"viviendas_habituales_viviendas_total","numeric","YES","NO",NULL,NULL,"Dato calculado =  viviendas_habituales / viviendas_total * 100"
"TABLA","public","base_snapshots",NULL,"plazas_vacacionales_plazas_total_porc","numeric","YES","NO",NULL,NULL,"Dato calculado =  plazas_vacacionales / plazas_total *100"
"TABLA","public","base_snapshots",NULL,"plazas_regladas_plazas_total_porc","numeric","YES","NO",NULL,NULL,"Dato calculado =  plazas_regladas / plazas_total *100"
"TABLA","public","base_snapshots",NULL,"rit_km2_presion_humana_km2","numeric","YES","NO",NULL,NULL,"Dato calculado =  rit_km2 / presion_humana_km2 * 100"
"TABLA","public","base_snapshots",NULL,"residentes_km2_presion_humana_km2","numeric","YES","NO",NULL,NULL,"Dato calculado =  residentes_km2 / presion_humana_km2 * 100"
"TABLA","public","base_snapshots",NULL,"plazas_at_residenciales_oferta_en_residencial","numeric","YES","NO",NULL,NULL,"Dato calculado =  plazas_at_residenciales / plazas_suelo_residencial"
"TABLA","public","base_snapshots",NULL,"plazas_vv_residenciales_oferta_en_residencial","numeric","YES","NO",NULL,NULL,"Dato calculado =  plazas_vv_residenciales / plazas_suelo_residencial"
"TABLA","public","base_snapshots",NULL,"plazas_suelo_residencial_porc","numeric","YES","NO",NULL,NULL,"Dato calculado =  plazas_suelo_residencial / plazas_total * 100"
"TABLA","public","base_snapshots",NULL,"plazas_suelo_turistico_porc","numeric","YES","NO",NULL,NULL,"Dato calculado =  plazas_suelo_turistico / plazas_total * 100"
"TABLA","public","base_snapshots",NULL,"rit_r_max","numeric","YES","NO",NULL,NULL,"Dato calculado =  max(rit_r)"
"TABLA","public","base_snapshots",NULL,"rit_v_max","numeric","YES","NO",NULL,NULL,"Dato calculado =  max(rit_v)"
"TABLA","public","base_snapshots",NULL,"rit_max","numeric","YES","NO",NULL,NULL,"Dato calculado =  max(rit)"
"TABLA","public","base_snapshots",NULL,"rit_r_km2_max","numeric","YES","NO",NULL,NULL,"Dato calculado =  max(rit_r_km2)"
"TABLA","public","base_snapshots",NULL,"rit_v_km2_max","numeric","YES","NO",NULL,NULL,"Dato calculado =  max(rit_v_km2)"
"TABLA","public","base_snapshots",NULL,"rit_km2_max","numeric","YES","NO",NULL,NULL,"Dato calculado =  max(rit_km2)"
"TABLA","public","base_snapshots",NULL,"residentes_km2_max","numeric","YES","NO",NULL,NULL,"Dato calculado =  max(residentes_km2)"
"TABLA","public","base_snapshots",NULL,"presion_humana_km2_max","numeric","YES","NO",NULL,NULL,"Dato calculado =  max(presion_humana_km2)"
"TABLA","public","base_snapshots",NULL,"vacacional_por_viviendas_habituales_max","numeric","YES","NO",NULL,NULL,"Dato calculado =  max(vacacional_por_viviendas_habituales)"
"TABLA","public","base_snapshots",NULL,"vacacional_por_viviendas_total_max","numeric","YES","NO",NULL,NULL,"Dato calculado =  max(vacacional_por_viviendas_total)"
"TABLA","public","base_snapshots",NULL,"uds_vv_habitantes_max","numeric","YES","NO",NULL,NULL,"Dato calculado =  max(uds_vv_habitantes)"
"TABLA","public","base_snapshots",NULL,"uds_vv_residenciales_habitantes_max","numeric","YES","NO",NULL,NULL,"Dato calculado =  max(uds_vv_residenciales_habitantes)"
"TABLA","public","base_snapshots",NULL,"deficit_oferta_viviendas_max","numeric","YES","NO",NULL,NULL,"Dato calculado =  max(r_deficit_oferta_viviendas)"
"TABLA","public","base_snapshots",NULL,"uds_vv_residenciales_porc_max","numeric","YES","NO",NULL,NULL,"Dato calculado =  max(uds_vv_residenciales_porc) | Excluyendo valores 100"
"TABLA","public","base_snapshots",NULL,"uds_vv_turisticas_porc_max","numeric","YES","NO",NULL,NULL,"Dato calculado =  max(uds_vv_turisticas_porc) | Excluyendo valores 100"
"TABLA","public","base_snapshots",NULL,"plazas_vv_residenciales_porc_max","numeric","YES","NO",NULL,NULL,"Dato calculado =  max(plazas_vv_residenciales_porc) | Excluyendo valores 100"
"TABLA","public","base_snapshots",NULL,"plazas_vv_turisticas_porc_max","numeric","YES","NO",NULL,NULL,"Dato calculado =  max(plazas_vv_turisticas_porc) | Excluyendo valores 100"
"TABLA","public","base_snapshots",NULL,"plazas_at_residenciales_porc_max","numeric","YES","NO",NULL,NULL,"Dato calculado =  max(plazas_at_residenciales_porc) | Excluyendo valores 100"
"TABLA","public","base_snapshots",NULL,"plazas_at_turisticas_porc_max","numeric","YES","NO",NULL,NULL,"Dato calculado =  max(plazas_at_turisticas_porc) | Excluyendo valores 100"
"TABLA","public","base_snapshots",NULL,"pte_v_porc_max","numeric","YES","NO",NULL,NULL,"Dato calculado =  max(pte_v_porc) | Excluyendo valores 100"
"TABLA","public","base_snapshots",NULL,"pte_r_porc_max","numeric","YES","NO",NULL,NULL,"Dato calculado =  max(pte_r_porc) | Excluyendo valores 100"
"TABLA","public","base_snapshots",NULL,"pte_v_total_poblacion_porc_max","numeric","YES","NO",NULL,NULL,"Dato calculado =  max(pte_v_total_poblacion_porc) | Excluyendo valores 100"
"TABLA","public","base_snapshots",NULL,"pte_r_total_poblacion_porc_max","numeric","YES","NO",NULL,NULL,"Dato calculado =  max(pte_r_total_poblacion_porc) | Excluyendo valores 100"
"TABLA","public","base_snapshots",NULL,"poblacion_total_poblacion_porc_max","numeric","YES","NO",NULL,NULL,"Dato calculado =  max(poblacion_total_poblacion_porc)"
"TABLA","public","base_snapshots",NULL,"viviendas_vacias_viviendas_total_max","numeric","YES","NO",NULL,NULL,"Dato calculado =  max(viviendas_vacias_viviendas_total)"
"TABLA","public","base_snapshots",NULL,"viviendas_esporadicas_viviendas_total_max","numeric","YES","NO",NULL,NULL,"Dato calculado =  max(viviendas_esporadicas_viviendas_total)"
"TABLA","public","base_snapshots",NULL,"viviendas_habituales_viviendas_total_max","numeric","YES","NO",NULL,NULL,"Dato calculado =  max(viviendas_habituales_viviendas_total)"
"TABLA","public","base_snapshots",NULL,"plazas_vacacionales_plazas_total_porc_max","numeric","YES","NO",NULL,NULL,"Dato calculado =  max(plazas_vacacionales_plazas_total_porc) | Excluyendo valores 100"
"TABLA","public","base_snapshots",NULL,"plazas_regladas_plazas_total_porc_max","numeric","YES","NO",NULL,NULL,"Dato calculado =  max(plazas_regladas_plazas_total_porc) | Excluyendo valores 100"
"TABLA","public","base_snapshots",NULL,"rit_km2_presion_humana_km2_max","numeric","YES","NO",NULL,NULL,"Dato calculado =  max(rit_km2_presion_humana_km2)"
"TABLA","public","base_snapshots",NULL,"residentes_km2_presion_humana_km2_max","numeric","YES","NO",NULL,NULL,"Dato calculado =  max(residentes_km2_presion_humana_km2)"
"TABLA","public","base_snapshots",NULL,"plazas_at_residenciales_oferta_en_residencial_max","numeric","YES","NO",NULL,NULL,"Dato calculado =  max(plazas_at_residenciales_oferta_en_residencial) | Excluyendo valores 100"
"TABLA","public","base_snapshots",NULL,"plazas_vv_residenciales_oferta_en_residencial_max","numeric","YES","NO",NULL,NULL,"Dato calculado =  max(plazas_vv_residenciales_oferta_en_residencial) | Excluyendo valores 100"
"TABLA","public","base_snapshots",NULL,"plazas_suelo_residencial_porc_max","numeric","YES","NO",NULL,NULL,"Dato calculado =  max(plazas_suelo_residencial_porc) | Excluyendo valores 14"
"TABLA","public","base_snapshots",NULL,"plazas_suelo_turistico_porc_max","numeric","YES","NO",NULL,NULL,"Dato calculado =  max(plazas_suelo_turistico_porc) | Excluyendo valores 100"
"TABLA","public","base_snapshots",NULL,"rit_r_avg","numeric","YES","NO",NULL,NULL,"Dato calculado = avg(rit_r)"
"TABLA","public","base_snapshots",NULL,"rit_v_avg","numeric","YES","NO",NULL,NULL,"Dato calculado = avg(rit_v)"
"TABLA","public","base_snapshots",NULL,"rit_avg","numeric","YES","NO",NULL,NULL,"Dato calculado = avg(rit)"
"TABLA","public","base_snapshots",NULL,"rit_r_km2_avg","numeric","YES","NO",NULL,NULL,"Dato calculado = avg(rit_r_km2)"
"TABLA","public","base_snapshots",NULL,"rit_v_km2_avg","numeric","YES","NO",NULL,NULL,"Dato calculado = avg(rit_v_km2)"
"TABLA","public","base_snapshots",NULL,"rit_km2_avg","numeric","YES","NO",NULL,NULL,"Dato calculado = avg(rit_km2)"
"TABLA","public","base_snapshots",NULL,"residentes_km2_avg","numeric","YES","NO",NULL,NULL,"Dato calculado = avg(residentes_km2)"
"TABLA","public","base_snapshots",NULL,"presion_humana_km2_avg","numeric","YES","NO",NULL,NULL,"Dato calculado = avg(presion_humana_km2)"
"TABLA","public","base_snapshots",NULL,"vacacional_por_viviendas_habituales_avg","numeric","YES","NO",NULL,NULL,"Dato calculado = avg(vacacional_por_viviendas_habituales)"
"TABLA","public","base_snapshots",NULL,"vacacional_por_viviendas_total_avg","numeric","YES","NO",NULL,NULL,"Dato calculado = avg(vacacional_por_viviendas_total)"
"TABLA","public","base_snapshots",NULL,"uds_vv_habitantes_avg","numeric","YES","NO",NULL,NULL,"Dato calculado = avg(uds_vv_habitantes)"
"TABLA","public","base_snapshots",NULL,"uds_vv_residenciales_habitantes_avg","numeric","YES","NO",NULL,NULL,"Dato calculado = avg(uds_vv_residenciales_habitantes)"
"TABLA","public","base_snapshots",NULL,"deficit_oferta_viviendas_avg","numeric","YES","NO",NULL,NULL,"Dato calculado = avg(r_deficit_oferta_viviendas)"
"TABLA","public","base_snapshots",NULL,"uds_vv_residenciales_porc_avg","numeric","YES","NO",NULL,NULL,"Dato calculado = avg(uds_vv_residenciales_porc)"
"TABLA","public","base_snapshots",NULL,"uds_vv_turisticas_porc_avg","numeric","YES","NO",NULL,NULL,"Dato calculado = avg(uds_vv_turisticas_porc)"
"TABLA","public","base_snapshots",NULL,"plazas_vv_residenciales_porc_avg","numeric","YES","NO",NULL,NULL,"Dato calculado = avg(plazas_vv_residenciales_porc)"
"TABLA","public","base_snapshots",NULL,"plazas_vv_turisticas_porc_avg","numeric","YES","NO",NULL,NULL,"Dato calculado = avg(plazas_vv_turisticas_porc)"
"TABLA","public","base_snapshots",NULL,"plazas_at_residenciales_porc_avg","numeric","YES","NO",NULL,NULL,"Dato calculado = avg(plazas_at_residenciales_porc)"
"TABLA","public","base_snapshots",NULL,"plazas_at_turisticas_porc_avg","numeric","YES","NO",NULL,NULL,"Dato calculado = avg(plazas_at_turisticas_porc)"
"TABLA","public","base_snapshots",NULL,"pte_v_porc_avg","numeric","YES","NO",NULL,NULL,"Dato calculado = avg(pte_v_porc)"
"TABLA","public","base_snapshots",NULL,"pte_r_porc_avg","numeric","YES","NO",NULL,NULL,"Dato calculado = avg(pte_r_porc)"
"TABLA","public","base_snapshots",NULL,"pte_v_total_poblacion_porc_avg","numeric","YES","NO",NULL,NULL,"Dato calculado = avg(pte_v_total_poblacion_porc)"
"TABLA","public","base_snapshots",NULL,"pte_r_total_poblacion_porc_avg","numeric","YES","NO",NULL,NULL,"Dato calculado = avg(pte_r_total_poblacion_porc)"
"TABLA","public","base_snapshots",NULL,"poblacion_total_poblacion_porc_avg","numeric","YES","NO",NULL,NULL,"Dato calculado = avg(poblacion_total_poblacion_porc)"
"TABLA","public","base_snapshots",NULL,"viviendas_vacias_viviendas_total_avg","numeric","YES","NO",NULL,NULL,"Dato calculado = avg(viviendas_vacias_viviendas_total)"
"TABLA","public","base_snapshots",NULL,"viviendas_esporadicas_viviendas_total_avg","numeric","YES","NO",NULL,NULL,"Dato calculado = avg(viviendas_esporadicas_viviendas_total)"
"TABLA","public","base_snapshots",NULL,"viviendas_habituales_viviendas_total_avg","numeric","YES","NO",NULL,NULL,"Dato calculado = avg(viviendas_habituales_viviendas_total)"
"TABLA","public","base_snapshots",NULL,"plazas_vacacionales_plazas_total_porc_avg","numeric","YES","NO",NULL,NULL,"Dato calculado = avg(plazas_vacacionales_plazas_total_porc)"
"TABLA","public","base_snapshots",NULL,"plazas_regladas_plazas_total_porc_avg","numeric","YES","NO",NULL,NULL,"Dato calculado = avg(plazas_regladas_plazas_total_porc)"
